gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass
LOC118262065								0.042642627	1.9723672		0.0		0.61964506	
LOC118262067								1.6667007	2.4892673		2.374757		1.4545147	
LOC118262069								0.5909107	0.027774414		0.016250102		0.17293042	
LOC118262070								0.0	1.8979628		0.033128895		0.040270988	
LOC118262073								0.8627998	0.24531826		0.040564314		4.727313	
LOC118262074								0.0	0.0		0.0		0.0	
LOC118262075								8.909958	6.546388		7.9135404		8.280831	
LOC118262076								4.954839	3.2846072		1.7613393		2.364462	
LOC118262077								0.056957986	8.561998		5.9540977		6.1960354	
LOC118262079								5.6869183	4.621727		2.2117453		4.242884	
LOC118262080								3.9111993	4.5995274		1.0036815		3.5025678	
LOC118262081								3.8286324	3.285163		1.2508682		2.8224483	
LOC118262083								1.8452535	1.9384699		1.6136152		0.24138664	
LOC118262084								0.0064854855	0.16752487		0.0		1.367938	
LOC118262085								1.6454183	2.3691483		5.950804		3.8757467	
LOC118262086								6.5422897	0.23780078		0.36880764		0.060539108	
LOC118262087								3.8532374	4.210123		0.0		3.8363051	
LOC118262089								4.722712	5.4014125		1.0921074		2.5469372	
LOC118262091								4.657459	6.9389114		3.947515		6.849296	
LOC118262094								5.4089823	4.977031		2.1628993		3.593812	
LOC118262095								6.27146	5.613491		2.2150607		4.434426	
LOC118262099								1.1439044	0.17299418		0.13922454		0.09439442	
LOC118262101								1.1829478	1.4289063		0.2711987		0.38903785	
LOC118262102								0.27524173	0.03378946		0.0		0.0	
LOC118262103								1.5406767	0.06198205		0.039166395		0.18784256	
LOC118262104								0.0	5.6697397		0.0		0.032609943	
LOC118262105								0.32852703	0.31521037		0.27376428		0.26502365	
LOC118262106								4.926052	6.776717		1.6419959		1.9609982	
LOC118262108								3.9886947	3.8167734		1.4417614		2.0630033	
LOC118262110								0.73262924	0.42066175		0.6049796		3.5944066	
LOC118262111								1.8235172	0.85120696		0.1471515		0.52905446	
LOC118262112								0.008819432	0.0		0.0		0.013852526	
LOC118262113								0.0	0.0		0.0		0.004825322	
LOC118262115								0.0	0.0		2.0373642		0.051315833	
LOC118262116								0.0	3.5992293		0.0		0.006811263	
LOC118262117								0.15359347	0.0		0.0		0.30636516	
LOC118262118								0.0	6.677707		0.0		0.032451376	
LOC118262119								0.75881255	1.006201		0.37244424		1.2085618	
LOC118262120								6.3645816	3.6998909		2.7975855		3.5676394	
LOC118262121								3.1823268	4.822841		0.28621748		0.8474566	
LOC118262122								0.0411812	0.07989847		0.009566735		0.3582721	
LOC118262123								0.01896182	0.0		0.0		0.04883307	
LOC118262125								0.16864488	0.0		0.0		0.001859825	
LOC118262126								0.0	0.2795631		0.0		0.6940762	
LOC118262127								0.0	0.2549725		0.0		0.0	
LOC118262128								0.0	0.0		0.0		0.0	
LOC118262129								0.12306174	0.0		0.0		0.0	
LOC118262130								6.9670606	4.3028893		2.6229851		3.8813524	
LOC118262131								0.013127721	0.104724474		0.0		0.014001395	
LOC118262132								4.2231903	3.383053		2.0060563		4.283361	
LOC118262133								7.9118977	7.9081697		4.588167		5.3029804	
LOC118262134								2.847418	4.210576		0.5007832		1.8592935	
LOC118262136								4.487598	2.8080955		2.92682		3.8880804	
LOC118262137								6.31401	3.277473		4.4747405		5.2073183	
LOC118262139								0.0	0.0		0.0		0.0	
LOC118262140								5.7704654	5.699124		4.2166457		4.059162	
LOC118262141								8.35053	6.4574223		8.9424715		8.031349	
LOC118262142								5.262164	2.1371846		2.646108		3.7197142	
LOC118262143								6.6919317	4.9373975		2.8026433		4.265212	
LOC118262144								3.3607414	2.9308438		1.0125829		2.9742422	
LOC118262148								5.2746863	3.9057395		2.6307263		4.250164	
LOC118262150								0.07400766	0.0		0.0		0.03193202	
LOC118262151								0.08818442	0.36597207		0.55799943		0.0	
LOC118262152								2.678585	1.2456203		0.5007445		1.4411657	
LOC118262153								0.0	0.0		0.057448752		2.7637537	
LOC118262154								8.690041	7.535044		9.5016575		8.645264	
LOC118262156								4.1716523	2.2443082		4.2919693		3.94286	
LOC118262157								4.1753936	3.5088031		2.0472221		3.8305707	
LOC118262158								0.090985596	0.0		0.07904151		0.081231326	
LOC118262159								7.7597384	4.2532473		2.984287		3.3643968	
LOC118262160								5.375443	5.7494774		2.392615		3.3234067	
LOC118262161								5.4362597	6.9312973		3.5285618		4.920665	
LOC118262162								6.076751	5.248488		2.8629286		4.3743987	
LOC118262164								0.88559854	0.44606823		0.26852056		1.882268	
LOC118262165								0.0	0.0		0.0		0.0	
LOC118262168								0.0	1.6058869		0.0		0.13963799	
LOC118262171								0.0	0.0		0.0		0.06461351	
LOC118262172								0.0	0.0		0.0		0.0	
LOC118262174								0.0	0.0		0.0		0.0	
LOC118262175								0.0	0.0		0.0		0.06335278	
LOC118262177								0.0	2.0208719		0.0		1.594257	
LOC118262182								0.11836781	0.0		0.096716926		0.40809804	
LOC118262184								4.3077316	2.6848927		0.8791616		2.22627	
LOC118262185								0.9703802	5.818047		5.824627		1.7385914	
LOC118262187								3.965066	2.9737813		1.6865638		0.43944666	
LOC118262189								4.2289677	4.2269325		1.5856937		3.3642848	
LOC118262190								5.0926714	1.9645383		1.335048		0.86756986	
LOC118262192								5.734826	1.4319975		0.051773675		2.4228523	
LOC118262194								0.0	0.0		0.0		0.0	
LOC118262198								5.0879145	5.2390294		0.122495316		0.8255215	
LOC118262199								3.3998675	1.8889912		4.4397345		5.8252654	
LOC118262200								4.5220385	4.265231		1.8039081		5.030425	
LOC118262201								3.3764343	2.919576		2.0034485		4.008768	
